uid,SMILES,S1_energy(eV),T1_energy(eV)
train_41,O=S1CCN(CC=CCS)CC1,4.9226,4.3502
train_42,CC(C)=Cc1ncnc(C(C)C)c1N(C)N,3.397,3.089
train_43,Cc1ccc(OCc2cccc(CN)c2)cc1F,5.1662,4.1117
train_44,O=C(O)C1CCC(NC(=O)N2CC=C(c3cccc(Cl)c3)CC2)CC1,4.8355,3.5158
train_45,COc1cc(Br)cc(C)c1NC(=O)c1ccc(Br)c(N)c1,4.3198,3.3891
train_46,CCN(CC)C[C@H](O)Cn1cnc2c(SC)ncnc21,4.2863,3.3908
train_47,O=C1[C@H]2CC=CC[C@H]2C(=O)N1Cc1ccco1,5.0105,4.1088
train_48,C(=N\Nc1nc2c(s1)CCCC2)\c1ccncc1,3.4717,2.591
train_49,C[C@H]1C[C@H]2COC(N)=NC2([C@H]2SC=C(NC(=O)c3ccc(OC(F)F)cn3)N2C)CO1,2.658,2.2277
train_50,COC(=O)c1ccc(N2CCCC2)c(NC(=O)COc2cccc([N+](=O)[O-])c2)c1,3.2187,3.1851
train_51,CO[C@@H]1[C@@H](O)[C@H](O[C@@H]2O[C@H](O[C@@H]3[C@@H](O)[C@H](O[C@@H]4OC=C[C@@H]5[C@H]4[C@@](C)(O)C[C@H]5O)O[C@H](CO)[C@H]3O)C[C@@H]3[C@H]2[C@@](C)(O)C[C@H]3O)O[C@H](CO)[C@H]1O,6.3323,4.3378
train_52,CC(=O)Nc1ccc(F)c(NC(=O)N2CCCCCCC2)c1,4.7913,3.7983
train_53,Cc1csc(NC(=O)Cn2c(=O)oc3cc(S(=O)(=O)N4CCCCCC4)ccc32)n1,4.5408,3.5022
train_54,CCc1ccc(NC(=O)N2CCCN(c3nc(Cc4ccccc4)nc4c3c(C)nn4-c3ccccc3)CC2)cc1,4.3193,3.3916
train_55,COc1ccccc1CNC1CN(C(c2ccccc2)c2ccccc2)C1,4.6811,4.0928
train_56,CC1(C)C(C(=O)N2CCC(C(=O)O)C2)C1(C)C,5.398,4.9218
train_57,O=C(NCc1ccccc1-n1cccn1)N1CCCN(C2CCCC2)CC1,4.0756,4.011
train_58,O=C(/N=S(/C=C(c1ccccc1)c1ccccc1)NC(=O)c1ccccc1)c1ccccc1,3.8888,3.1939
train_59,Cc1ccc(NC(=O)N(CCO)CC(F)F)cc1Cl,4.927,3.8864
train_60,CC(Nc1c(F)c(N)c(N)c(-c2cc(C3CC3)[nH]n2)c1F)c1ccc(F)cc1,3.9439,3.1137
train_61,CC(C)N1CCN(c2ccc(/C(=C(/CCCO)c3ccccc3)C3C=CCC(O)=C3)cc2)CC1,3.992,3.1903
train_62,O=C(O)c1ccn2c(-c3cccc(Br)c3)ncc2c1,3.5136,2.4164
train_63,CNS(=O)(=O)c1ccc(/C=C/C(=O)NCc2ccc(CN3CCCCC3)cc2)cc1,3.4268,2.9389999999999996
train_64,COc1cccc(CC(CN)(CO)C(C)C)c1F,5.1672,4.0983
train_65,CCNC1(CN)CCOCC1C,6.3143,6.0934
train_66,CCCC/C(=C/C(C)=C(/O)CC)CC,5.2505,3.263
train_67,CCOC(=O)CN(N=Cc1ccc(Cl)cc1)C(=O)[C@H](C)CSC(C)=O,4.5266,2.9537
train_68,CCNC1CCCc2c1cnn2CCO,5.777,4.6224
train_69,CN(c1ccccc1)S(=O)(=O)c1ccc(Cl)c(C(=O)Nc2cccc(C(=O)O)c2)c1,4.0124,3.4816
train_70,COCC1(CNS(=O)(=O)N(C)CCC(=O)OC)CCNCC1,5.8935,5.3539
train_71,Cc1ccc(CCC(=O)NCCc2nc3ccccc3s2)c(C)c1,4.7968,3.7567
train_72,O=S(=O)(Cl)CCCCCCOc1cc(Cl)cc(Cl)c1,4.6208,3.9962
train_73,CO/C(C)=N/C(=N)c1cnc2ccc(/C(C=N)=C(/N)c3ccc(F)cc3)cn12,3.8548,2.8308
train_74,CN(C)c1ccc([C@H](CC(=O)O)c2nc(CCCCc3ccc4c(n3)NCCC4)cs2)cn1,3.6971,3.4999
train_75,Cc1cccc(NC(=O)C[C@@H](NCCCN(C)C)C(=O)O)c1C,4.9935,3.8437
train_76,CCS(=O)(=O)N1CCC(NC(=O)N2CCC(C)C(n3ccnc3)C2)CC1,6.4018,4.6169
train_77,CCN(CC(C)C#N)c1ccc(C(=O)O)cc1,4.6588,3.4187
train_78,NCC(F)(F)C(O)C(=O)N[C@@H]1C[C@H](N)C(O[C@H]2O[C@H](CNCCO)CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,5.4897,4.9215
train_79,C[C@@H](N1CN([C@@H]2c3ccccc3SCc3c(Br)cccc32)n2ccc(=O)c(O)c2C1(C)O)C(F)(F)F,3.4883,3.0106
train_80,CN1CCN(C(=O)[C@@H]2CC(=O)N(c3cccc(F)c3)C2)[C@H](c2ccccc2)C1,5.0204,3.9277
train_81,CNC(=O)N1CCN=Cc2ccccc21,4.2349,3.537
train_82,O=C1CCC(=O)N1[C@@H]1CCN2CCCc3cccc1c32,3.9653,3.4985
train_83,CCOCCC(NC)c1cccc(OC2CC2)c1,5.1186,4.1219
train_84,Cc1cccc(CCC(=O)N2CCN(c3ccc(F)cc3)CC2)c1,4.5891,3.7255
train_85,CC(C)C(NC(=O)C(C)n1cnc2ccccc2c1=O)C(=O)O,4.6065,3.6291
train_86,ICCCOc1ccccn1,4.7841,4.0456
train_87,CCn1cc(Oc2ccc(CNC3CC3)cn2)cn1,4.5706,3.8262
train_88,COc1cccc(/N=N/C2(C(C)=O)N=C2C)c1,2.7272,1.9232
train_89,CCC(C)OP(=O)(O)C(F)(F)c1ccc(CCNC(=O)c2ccccc2)cc1Br,4.6965,3.9639
train_90,CCCNC(=O)c1cccc(CNC(=O)NCc2ccc(N(C)C)cc2)c1,4.1575,3.7539
train_91,COc1ccccc1S(=O)(=O)NCc1ccnc(-c2cccnc2)c1,4.0944,3.4671
train_92,NC1CCC2(CC1)CC(CC(=O)O)CS2,5.3243,4.8296
train_93,CCOc1ccc(C(=O)N2CCCC3CCCCC32)cc1[N+](=O)[O-],3.8733,3.2342
train_94,CC(C)(C)C(CN)Sc1cccc(F)c1,4.5539,3.7828
train_95,CCCCCNC(=O)CCN(C(C)=O)c1ccc(F)cc1F,5.0819,4.1076
train_96,Cn1c(C(C)(C)OC(=O)NN)cnc1[N+](=O)[O-],3.8838,3.2474
train_97,CC1=C(/C=C/C(=O)Nc2cccc3cnccc23)C(C)(C)CCC1Oc1cccc(F)c1,3.8735,2.8074
train_98,COc1ccccc1N1CCC(NC(=O)NCc2ccc(C(N)=O)cc2)C1=O,4.6152,3.8938
train_99,C=C(N1CCC(CNCCC(=O)c2ccc3ccccc3c2)CC1)C(F)(F)F,3.7176,2.898
train_100,Fc1cccc(CC(Cl)c2cccc(C(F)(F)F)c2)c1F,5.2917,4.1265
train_101,Cc1cnc(C(=O)NC2C[C@@H]3CC[C@H](C2)N3C(=O)C2CCOCC2)cn1,3.7093,3.1433
train_102,COc1ccc(NS(=O)(=O)c2cc(NC(=O)c3ccc(-n4cccn4)cc3)ccc2OC)cc1,3.7463,3.3057
train_103,CCO[Si](CCCCCCS(=O)(=O)Cl)(OCC)OCC,5.1858,4.4807
train_104,O=C(CSc1nnnn1Cc1cccs1)N1CCC2CCCCC2C1,5.2447,3.7885
train_105,Cc1cc(C)c2cc(C(=O)N(Cc3ccco3)Cc3cccs3)[nH]c2c1,4.4152,3.0545
train_106,CC1CCCN1S(=O)(=O)N1CCc2ccccc2C1,5.2988,4.1703
train_107,CN(Cc1cccc(C(=O)O)c1)C(CCO)c1ccccc1,4.4843,3.9135
train_108,CCCc1ccc(NCC(=O)OC)cc1,4.5403,3.7308
train_109,CCCCC(CC)C(=O)NC1CCc2[nH]c3c(C)cccc3c2C1,4.912,3.5239999999999996
train_110,CCCNC1CCC(C)(c2ccc(OC)c(F)c2)C1,5.1254,3.9767
train_111,COc1ccc(COCCCC(C)(C)C(N)=NO)cc1,5.1211,4.0819
train_112,Cc1cc(F)c(N)cc1S(=O)(=O)NC1CCN2CCCC12,4.4539,3.5176
train_113,C#CCn1c(C2CC2)nc(-c2ccc(C)c(Cl)c2)c1N,4.7324,3.3731
train_114,Brc1cccc(COC[C@@H]2CCCN2)c1,5.2108,4.0760000000000005
train_115,CCN(CC(=O)O)C1CC(NC(=O)N2CCOC3CCCC32)C1,5.0118,4.4793
train_116,CCN(C(=O)C(C#N)Cc1ccc(C(C)C)cc1)c1ccccc1,5.3023,4.1696
train_117,CCOc1ccc(C(=O)Nc2cnn(Cc3ccccc3)c2)cc1OCC,4.5271,3.6289999999999996
train_118,Cc1nc(C)c(CNC(=O)c2ccc(N3CCC(O)CC3)cc2)s1,4.5855,3.4073
train_119,CCN(C)c1cc(C)c(F)cc1[C@@H](C)N,4.5142,3.861
train_120,O=C(NCC1CCc2ccccc21)N1CCCC(C(=O)N2CCCC2)C1,5.2619,4.1814
train_121,CC(C)c1cccc2sc3ccncc3c12,4.3317,3.565
train_122,CCNc1cccc(NCCOCC(C)C)c1[N+](=O)[O-],3.1061,2.3831
train_123,Cc1ccc(NS(=O)(=O)c2ccsc2C(=O)O)c(F)c1,4.2768,3.3710000000000004
train_124,O=C(Nc1ccccc1)[C@@H](Cl)[C@@H](Cl)c1ccccc1,4.9748,3.8122
train_125,CCCCC(CC)CNC(=O)N1CCN(Cc2ccco2)CC1,5.3629999999999995,4.1091
train_126,CCc1nc(C2CN(C(=O)c3cnn(C)c3C3CC3)CCO2)n[nH]1,5.0969999999999995,4.2915
train_127,COc1ccc(CC(C)CN[C@H](Cc2ccccc2)C(=O)O)cc1F,5.124,4.053999999999999
train_128,Cc1csc(C(=O)Cc2cnn(C)n2)c1,3.825,3.1987
train_129,CCOC(=O)c1csc(-n2nc(-c3ccc(Br)cc3)cc2NC(C)=O)n1,4.0196,3.0223
train_130,COc1ccc(OC)c2c1CC1C(/C=C(\C)CCCl)=C(C)CCN1C2,4.8328,3.838
train_131,O=C(O)[C@@H](Cc1ccccc1)NC(c1ccccc1)(c1ccccc1)c1ccccc1,4.7867,4.0943
train_132,CC1CN(c2nccnc2C#N)CCN1C(=O)c1ccc(C2CCCCC2)cc1,3.7469,2.8523
train_133,COC(C)(C)Cc1nc2n(c1N)CCCC2C,5.7965,4.3842
train_134,O=C(NCCCO)Nc1cc(Cl)ccc1N1CCOCC1,4.6178,3.7464
train_135,CCOC(=O)CCN(C)CC(=O)Nc1ccc(Cl)cc1F,4.3037,3.7675
train_136,O=c1[nH]c2ccc(C(Cl)CC3CCCCC3)cc2[nH]c1=O,4.3188,3.3991
train_137,CSc1ccc2[nH]cc(C3=C(c4c(I)n(CCCN5CCOCC5)c5ccc(SC)cc45)C(=O)NC3=O)c2c1,2.8446,2.2434
train_138,CN(C(=O)c1cccc(Cn2ccnc2)c1)c1cc(F)ccc1F,4.5598,3.8489
train_139,O=[N+]([O-])c1ccc(N2CCCNCC2)c(Cl)c1,3.6639999999999997,2.8358
train_140,O=C(Cc1ccccc1Cl)c1cc(F)c(F)cc1Cl,3.5292,3.0683
train_141,CC(NCCN1CCSC(C)(C)CC1)C1CCCO1,5.7404,5.2276
train_142,CC1=C(C(=O)Nc2ccccc2)[C@@H](c2cnn(C)c2C)n2c(sc(=Cc3ccoc3)c2=O)=N1,3.2721,2.2852
train_143,CC1(C)[C@@H](C(=O)N2CCC(C(=O)c3ccc(Cl)cc3)CC2)[C@H]1C(=O)O,3.6795,3.2134
train_144,CSCC(=O)N(C)Cc1csc(/C=C/C(=O)O)c1,3.9936,2.6208
train_145,CC1Oc2ccccc2OC1C(=O)Nc1cnn(C)c1,5.0925,4.1008
train_146,COCCC(C)C(O)c1ccc(F)cc1F,5.3677,4.2447
train_147,CNC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2N(O)C=N1,3.447,2.2602
train_148,CCOC(CC)C(=O)CC1CCCC1,4.2826,3.7272
train_149,CCSc1ccc(C(NN)C2=CCCCC2)cc1,4.3968,4.0396
train_150,COC(=O)C1(c2ccccc2)CCN(c2nc3c(c(N[C@H]4CCC(=O)N(C)C4)n2)OCC3)CC1,4.3111,3.2245
train_151,CCc1ccc(C(=O)CSc2n[nH]c(-c3ccc(C)cc3)n2)s1,3.5953,3.0666
train_152,Cc1csc(N2CCN(C(=O)Nc3cnn(CC(C)C)c3)CC2)n1,5.0479,3.6023
train_153,COc1cc(C2C3(C#N)C(N)=NC(OC)(OC)C23C#N)cc(Br)c1OC,4.877,3.8476
train_154,CCC(C)CC(C)(CC)C(C)CC(C)C,8.4055,8.2939
train_155,CCOCCCNC(=O)[C@H]1CCCN(c2ncc(-c3ccc(F)cc3)cn2)C1,4.0791,3.2124
train_156,Cc1cc(Nc2cccc(C3(c4ccsc4)CCC(Sc4ccccc4Cl)CN3)n2)n(C)n1,4.1782,3.5397
train_157,CCC[C@@H](NC(=O)N1C(=O)C(CC)(CC)[C@@H]1Oc1ccc(CNC(=O)Cc2ccncc2)cc1)c1ccc(C)cc1,4.7813,4.0611
train_158,CCN1CCN(C2=C(c3ccc(Cl)cc3)C(=O)N(c3ccccc3Cl)C2=O)CC1,3.0537,2.0695
train_159,CCC1(COCc2cccc(Oc3cccc(COCC4(CC)COC4)c3COCC3(CC)COC3)c2COCC2(CC)COC2)COC1,4.755,3.9349
train_160,CC(NC(=O)C1CCCCN1)c1ccc(Cl)s1,4.8139,3.5575
train_161,Cc1ccc(C)c(OCc2cccc(C(=O)O/N=C(\N)c3ccccc3)c2)c1,4.4223,3.517
train_162,COc1ccc(NC(=O)C(=O)NC[C@H](c2ccc(N(C)C)cc2)N2CCCC2)cc1,3.9428,3.3649
train_163,COc1ccc2c(c1)CCN(C1CCN(C34C=C(Oc5cc(C)c6nc(C7CC7)[nH]c6c5)N=C[C@H]3C4)CC1)C(=O)N2,3.805,2.9789999999999996
train_164,CC(OC(=O)c1cccc(CS(C)(=O)=O)c1)C(=O)Nc1sccc1C(N)=O,4.1453,3.4403
train_165,CN(C)c1ncccc1C(=O)NCC(C)(C)N1CCS(=O)CC1,3.9164,3.6019
train_166,CCc1ccc(C(=O)Nc2ccc(C)cc2C#CCO)s1,4.0974,3.2161
train_167,CC(C)C[C@@H](Nc1cc2c(c(-c3cnn(C)c3)n1)C(=O)NC2)C(N)=O,4.3385,3.3517
train_168,COc1ccc(NC(=O)CCc2nc(-c3ccc(C)c(F)c3)no2)c(Cl)c1,4.4822,3.5149
train_169,Cc1ccc(C(C)C)cc1C1(C(=O)NN)CCCC1,5.1855,4.0773
train_170,CC(C)(C)OC(=O)Oc1ccc(C(N)CC(O)COC(CN)C(Cc2ccccc2)OC(N)=O)cc1,5.2183,4.1295
train_171,O=C(NNC(=O)C1COc2ccccc2O1)c1cc(S(=O)(=O)NC2CC2)ccc1Br,4.0594,3.5302
train_172,CC1(C)C2=NC(c3ccc(F)cc3)C(Nc3ccc(S(C)(=O)=O)cc3)N2CCN1C(=O)CN,4.7949,3.7273
train_173,Cc1nnc(-c2cc(CCC(C)C)n(-c3cccc(C(=O)NCC4COC(C)(C)O4)c3)n2)o1,4.5878,3.6027
train_174,CC1=C[C@@H](C)[C@@H]2CO[C@H](Cc3ccc(OC(=O)NC4CCCCC4)cc3)[C@H]1[C@@H]2C,5.2829,4.1481
train_175,O=C1CCCC(NC2CCC2)C1,4.2052,3.6119
train_176,O=C(Nc1nnc(NCCc2c[nH]c3ccccc23)s1)c1c(Cl)cccc1Cl,3.9911,3.4186
train_177,Cc1cccc(NC(=O)C(=O)Nc2ccc(C#N)cc2)c1,3.9335,3.2719
train_178,CC1C(NC(=O)N2CCN(C)CC2)CC2C(C)(C)CCCC2(C)C1COS(C)(=O)=O,5.7738,5.6096
train_179,O=C(O)c1cc(S(=O)(=O)NCC2CC(O)C2)ccc1O,4.6465,3.8736
train_180,CCc1cccc2c(/C=N/NS(=O)(=O)c3cc(C)ccc3C)c[nH]c12,4.0578,2.8101
train_181,COc1ccc(OC)c(COc2ccc(/C=C(\C#N)C(=O)Nc3ccc(C)c(C)c3)cc2OC)c1,3.3828,2.5083
train_182,CC(C)Cn1c(C(=O)O)cc2scc(Br)c21,4.5332,3.1208
train_183,CCOc1ccc(N2CN(CCC3=CCCCC3)Cn3c2nc(C)c(CC)c3=O)cc1,4.4844,3.3206
train_184,Fc1ccc([C@H](NCc2nnc(-c3ccco3)o2)C2CCC2)cc1,4.6599,3.2319999999999998
train_185,N#Cc1cccc(Cn2ccc3ccc(F)cc32)c1,3.8816,3.5033
train_186,CCOc1ccc(NC(=O)C(C)(OCC)C2CC2)c2cccnc12,3.633,2.6732
train_187,CC(C)(C)CCC(N)CC1=CCCCC1,6.3551,4.3195
train_188,CCC(CC)(CS)CN(C)C1CCS(=O)(=O)C1,5.7451,5.2822
train_189,C=C[C@@]1(C)CC[C@H](O)[C@H]2C(=O)CCC[C@@H]21,4.2245,3.6517
train_190,C[C@H](c1cc(Cl)ccc1C(F)(F)F)N1CCNc2nnc(-c3nc(C4CCN(C)CC4)no3)cc21,3.5888,3.0603
train_191,CC1(Cc2ccc(F)c(Br)c2)CCC(=O)C1,4.1629,3.6338
train_192,COc1[nH]c2ccc(-c3ccc(C(C)(C)C)cc3)c(S(=O)(=O)c3cccs3)c2c1CCN,3.8033,2.9586
train_193,NC(=O)C1CCCCN1C(=O)c1ccc(COc2ccc3ccccc3c2)o1,4.2467,2.9396
train_194,Cc1nc(CCn2cnc3c2c(=O)[nH]c(=O)n3C)no1,4.9915,3.5253
train_195,C=C(C)C1CCC2(COC(=O)C=Cc3cc(OC)c(OC)c(OC)c3)CCC3(C)C(CCC4C5(C)CCC(O)C(C)C5CCC43C)C12,4.0909,2.7226
train_196,COc1cc(Br)cc(CC(=O)C(=O)O)c1O,2.489,2.3418
train_197,CCC(Nc1c(F)cccc1[N+](=O)[O-])C(=O)OC,3.4707,2.5831
train_198,COc1ccccc1NC(=O)c1ccc(NC(=O)COC(=O)Cc2cccs2)cc1,4.1134,3.4091
train_199,CCC(c1ccccn1)C(N1CCC(Nc2nc3c(Cc4ccccn4)cccc3[nH]2)CC1)N(C)C(=O)c1ccccc1,4.3241,3.7385
train_200,O=C(CCCNC(=O)c1ccco1)NS(=O)(=O)c1cccc(Cl)c1,4.8176,3.6957
train_201,Cc1cccc(NC(=O)C(C)Sc2nc(C)c(CC(N)=O)s2)c1,4.6269,3.4557
train_202,Cc1ccoc1C(NN)c1cnn(C)c1,5.685,4.0976
train_203,CN(C)C(=O)CCNC(=O)NC(=O)COCC(=O)O,5.443,4.9766
train_204,CCCCCCNS(=O)(=O)c1cccc(C#CCCO)c1,4.8121,3.5265
train_205,CC(=O)O[C@]1(c2ccccc2)CCN(C)[C@H](C)[C@@H]1C,4.5634,4.1735
train_206,CC(C)(C)OC(=O)N1CCOC(c2ncc(Br)cc2F)C1,4.518,3.9878
train_207,COCCCNS(=O)(=O)c1cc(N2CCCCS2(=O)=O)ccc1OC,4.8689,3.9219
train_208,NCCCCCC(=O)N1C(C(=O)O)CCC2CCCCC21,5.4802,4.9163
train_209,CC[C@@H](O)[C@@H](N)c1ccc(Cl)cc1Br,4.9771,3.9906
train_210,CCc1cnc(Nc2nc(Sc3cccc(N)c3)nc(N3CCN(C)CC3)n2)s1,4.2860000000000005,3.4402
train_211,CS(=O)c1cccc(N2C(=O)N(Cc3cccnc3)CC3=C2NCC=C3)c1,3.4647,2.5148
train_212,CCOC(=O)C1CCN(C(=O)C(=O)NC2CCCCCCCCCCC2)CC1,4.1819999999999995,3.7277
train_213,CC1C(=O)CCN(C2CCCS(=O)(=O)C2)C1C,4.1459,3.5624
train_214,CCOC(=O)CCC(N=[N+]=[N-])c1ccc2[nH]c(=O)oc2c1,4.4910000000000005,3.9942
train_215,O=C(NCCOCCO[C@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H]1OCc1ccccc1)OCc1ccccc1,5.4194,4.2232
train_216,CCC[C@@H](O)CN(CCOC)Cc1c(C)nn(-c2ccccc2)c1Oc1ccc(C)cc1,4.8907,3.8702
train_217,CC(C)(C)n1c(-c2ccccc2-n2cncn2)nc2cc(-c3cnc(N)[nH]c3=O)ccc21,4.1763,3.0068
train_218,CCc1ccc(NC(=O)[C@@H](C)OC(=O)[C@H]2CS[C@@]3(C)CCC(=O)N23)cc1,5.0342,3.8382
train_219,CC(NCCCN(C)Cc1ccccc1)c1cccnc1,4.6482,4.0017
train_220,CC(C)C(c1ccccc1)N(C)C(=O)CN,5.4034,4.2338
train_221,CC(C)N(C)C(=O)CSCc1coc(-c2ccc(F)cc2)n1,4.4952,3.3208
train_222,COC(=O)c1c(C2=CC=CC2)csc1NC(=O)C1CC=CCC1C(=O)O,3.9771,2.9848
train_223,CCNC(c1cccc(OC)c1)C1CCc2ccccc21,5.0979,4.0448
train_224,O=C(CN1C(=O)COc2cc(Br)ccc21)NC(CC1CC1)C(=O)O,4.7233,3.6603
train_225,[N-]=[N+]=NC(CCCC(=O)O)c1cccs1,4.4103,3.6999
train_226,CC(C)N(Cc1ccccn1)C(=O)c1ccccc1F,4.8559,4.163
train_227,O=C(c1ccc2ncccc2c1)N1CC[C@@H]2CN(Cc3ccccc3)[C@@H]2C1,4.1567,3.1778
train_228,Cc1nc(NC(=O)C2=N[C@H](C)C(=O)N(c3ccccc3)N2)sc1C,4.0038,3.0897
train_229,COCCOCO[C@H]1CC[C@H]2[C@@H](O[Si](C)(C)C(C)(C)C)C[C@H]3[C@@H](C[C@@H]12)OC(=O)[C@@H]3[C@@H](C)CCC1OCCO1,5.5819,5.0714
train_230,COC(c1nc(Cl)c(C)c(-c2ccccc2)n1)C(C)(C)C,4.178999999999999,3.6568
train_231,O=C(O)c1ccccc1OCCCCN1CCCCC1,4.4922,3.8324
train_232,CCOC(C1CCC2C(CC3C4CCC5C(C)(C)C(OC6CN(C7CN(CC(F)F)C7)CCO6)CCC56CC46CCC23C)O1)C(C)(C)O,6.3296,6.1828
train_233,CCCn1ccnc1C(=O)CN,3.9151,3.4477
train_234,Cc1cc(NS(=O)(=O)N2CCC[C@H](C)C2)ccc1C(=O)O,4.852,3.6366
train_235,CC(C)C(NCCc1ccccn1)c1ccccc1,4.654,4.0691
train_236,Cc1cc(-n2c(C)cc(C(=O)CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)c2C)no1,3.6473,3.2999
train_237,CC1=C(C(=O)N(C)C)C(c2c(F)cccc2F)NC(=S)N1c1ccccc1,3.4382,3.1164
train_238,COc1cccc(NC(=O)NCc2cccnc2-c2ccco2)c1,3.9106,3.0163
train_239,c1csc(CC2(CNC3CC3)CCC2)c1,5.442,3.7555
train_240,COc1ccccc1N1CCN(C(CN)C(F)(F)F)CC1,4.5354,3.6268
train_241,COc1cc([C@H]2C(C#N)=C(C)NC3=C2C(=O)CC(C)(C)C3)cc(I)c1O,3.6441,2.7988
train_242,Fc1cc(C2CCC3(CC2)OCCO3)cc(F)c1C(F)(F)F,5.251,4.1736
train_243,COc1ccc2oc(C(=O)Nc3ccc(N4CCCC4=O)cc3)c(C)c2c1,3.786,3.0946
train_244,CCOC(C(C)C)C(NC)c1ccco1,5.294,4.1548
